item_name,inscription_number,inscription_id,list_price
Bitcoin Frog #3686,411576,fdc0deac990928e94e36abe4aaed8b7970f0541e3faeff3edb5d5dff9a42efeai0,0.0329
Bitcoin Frog #1655,401177,e6f01bd45611476f890e7e1f80ecb11fc9a612485837cc38ac013469b1253a0ei0,0.033
Bitcoin Frog #3695,408890,68e412b98cb91a9df337bfeb3e1fbd2cab67c231734f163ae5f7df6de15d77c0i0,0.033
Bitcoin Frog #9333,409634,eb99e5898b3b3bb0ffdbe757fcace246ff353dff4576e16445c5829a0121d3cci0,0.0333
Bitcoin Frog #1843,408478,659cd3c01c93fc86589c60c9f00199faef8391fe91aa9b36e8694b4c4379c6b5i0,0.0345
Bitcoin Frog #1686,407366,481d44f32ccb2d8f626f871e43041430c06fb00539766ed09dfc86d12a325f9ci0,0.03489
Bitcoin Frog #9021,404282,4bf755ee49dd3d44484c13f545a4c6a906ace787c304ad20acc093f5d71b7656i0,0.0358
Bitcoin Frog #311,408072,8185f39cde49067e86daaa3b96ffb5473ec980666c2942023bdcb9299dec31adi0,0.0358
Bitcoin Frog #4862,404362,f278039a228c1d86f73160263702a7a44db4701377770d217dfddd1e4f803b58i0,0.036
Bitcoin Frog #172,406101,8ecaf0134b641e9985d18a30832bcb98569fccfc821edd3f309258a5c656e37fi0,0.036
Bitcoin Frog #8387,411184,1404df99276a7bbebbdadeb12f960cf147d3ea814326a0347f7ba14a95ce48e2i0,0.036
Bitcoin Frog #6627,405341,ac01db46eef5d8e4556145eb3faba96868f98a6a0775d750adb257c32aaef270i0,0.0367
Bitcoin Frog #2195,406794,f8cfabe4dfd70c7a0786480c0b8663112ff288865d5da43d934670ab2043ba8ei0,0.0368
Bitcoin Frog #6087,407674,7cf4eb21eba3d449ee4c1021801d9f55a3b1599cb1bd88eb15033c6f1b2eeaa3i0,0.0369
Bitcoin Frog #8180,407242,70e65f266da5a26dbe4bcbc68dc183220e0e41fcff4afb2f5366bcb8a52d9599i0,0.037
Bitcoin Frog #1379,408789,c858bbb1157775f09cac9f93415c80010dbd323c91a192c85a1ffc1a90a68ebdi0,0.038
Bitcoin Frog #3842,404985,537a05b26a153226533dfa9c8096689b32031d3673084b87a271345ceb4e8668i0,0.03888
Bitcoin Frog #9581,411934,3ffeeb3b4c731b401d680f57a638e806441ca6e32b6ecb890f9e3e8f17d1fef3i0,0.039
Bitcoin Frog #1382,408151,b21a558137f3cb4662b449998814d8bf430d7b22b5eda6ecc455c20136b5e9aei0,0.0396
Bitcoin Frog #762,404119,1b8a89061c309a88879e4d98a9a3c1ce37f353d238e77ee53918e1a9015c4c52i0,0.0398
Bitcoin Frog #8411,408159,31f4e90e389bb731c155a145f6afc0c040074214436151746f8de35b2adc0cafi0,0.0399
Bitcoin Frog #4706,404445,d094cfc446252ae3e25cedf60df5c471de8b935dd0b67a3bb43e4f77da5b255ai0,0.04
Bitcoin Frog #1697,405284,f2dc3660d41c97f3be2d4177fef6477e9f6ea163e2cf6dbe5624d6cbb1cd666fi0,0.04
Bitcoin Frog #3885,406866,a0e862fe749a5276fa327ceb385ac5433f097aba9df733e79b827ef5c327aa90i0,0.04
Bitcoin Frog #1695,406962,8cb07ce1682fe9afee3634e3708841c18678a17f994e0dfc594b99af9547da92i0,0.04
Bitcoin Frog #3265,407129,7bbb88a1ebe65eea01fb5ef603a0d35ff93233404565918e2c42d0fe5b679c96i0,0.04
Bitcoin Frog #6693,411733,ff06fe8e53da0f3f3dd7653b436345e8f3a1f7a5b9fb23c4a8e32458639ff6eei0,0.04
Bitcoin Frog #3960,412300,d8b30cae46507ad73f1c07257f3fb465bb4657b4afc1116bf929c5cd5ac290fdi0,0.04
Bitcoin Frog #6950,408587,9c40b4cf2301d64ca572c4e8909c747963a0e493938cd0c96685afcc7a8872b8i0,0.04069
Bitcoin Frog #1692,410022,7eb8ec637b3dc895ffeaff81d023cfd83f67138a455574c92e7fce8c9045cad6i0,0.0415
Bitcoin Frog #4672,405392,dad3035bc408d2ceb72ba2ea4a679d59dc02a0902df98df87f6b26014d7e1f72i0,0.04169
Bitcoin Frog #5698,411975,56c74d80b5727d215927892ea6b5d54571b3083ebb70084f8a2303c2012cf1f4i0,0.0419
Bitcoin Frog #8485,405954,41d4f522441edf2b9843f4d81a6c1c2cba776dc49ffe2f6f48f40fa2021f5b7ci0,0.042
Bitcoin Frog #780,411141,d64aa77289e8041899b1182bf37d79e20e751d89f2e492814d9835877eae5ee1i0,0.042
Bitcoin Frog #7209,409746,7a71c896519ddd53fb0106e805ec50238cd838822111e568aea64330588c4ecfi0,0.0428
Bitcoin Frog #6261,408801,6efc1c4027d8d1a69ad772bbeb40c1a7f897746c6843f7cbbacab01fc2ecddbdi0,0.043
Bitcoin Frog #6894,408872,9bf4ed6c9dd5394b241de4658f7d674bf3cee63f8e0c412d95e275d077f8ebbfi0,0.043
Bitcoin Frog #3742,408341,053db5e703f9d596d6b59ae065cb5fea32a9143e8f181479e53bc8b4e2b98ab2i0,0.044
Bitcoin Frog #9953,401083,b0b44e1a6e02de96e565c55cb28ecfac9a42e813264204debd90bafea1a0390di0,0.045
Bitcoin Frog #1944,405075,689973eb8a589c770ea0c1352e971a18091831a2da65a2ca8faa7a8d34d2aa6ai0,0.045
Bitcoin Frog #2359,406327,750df6fb77ba3aef82e6654f87de66df0e17a6f91fe20218a3f26c7b703cd185i0,0.045
Bitcoin Frog #536,404614,548f82336a336b858aff31435cbe0352f09cb212a8d59122b748f3bcdb803e5ei0,0.0455
Bitcoin Frog #1763,405255,e5a19ddb46ee3ec338819e9cd99eb4b84ecf5f35f8d9c616e62bc749030d906ei0,0.0455
Bitcoin Frog #6260,411255,ced9ff9f22ba4d356a4d6c708b27fc222650ea1304d2d6955e9244d629a9f0e3i0,0.0455
Bitcoin Frog #3448,412387,1159f92a8cffcb163343a3ede2fd69519d4d37bbc40ccef34a1843cd39cddfffi0,0.0458
Bitcoin Frog #6317,404572,236090c9d89fed7f8d7778db6f681951d85e55ddfefdd6ee91a749390a47275di0,0.046
Bitcoin Frog #8217,407953,9ad5c4ea9cc29eb066d19530683f8050dfec665ac177e179198737b100e526aai0,0.046
Bitcoin Frog #6503,404148,05f72f1adce50038372ce4a4a768862e2beee2912a635577982d12c83fbfed52i0,0.047
Bitcoin Frog #7090,407150,517c2dd943635b02172a1492afa926b18943f60f5728e62c11df673945f74b97i0,0.047
Bitcoin Frog #2336,407992,78c69b1f1110de2af81b3cc5bf872acd654d0a3fcfc13c7a2f32803d1372f9aai0,0.047
Bitcoin Frog #548,405257,84b44a990fa0b98e22a516251e504d5ae3fddbe3060e13d0b467c9383e7a946ei0,0.0477
Bitcoin Frog #1231,407373,c4cec7cd322c18f8da5c4d5b95b75d01f311f160fde27f5f935c3534d02a7d9ci0,0.0488
Bitcoin Frog #7586,406394,4c5612f9fc43ff898fa8db0441957e509eb157bcb7385c54e250709b60417d86i0,0.0489
Bitcoin Frog #492,411440,d3b9da6b60a05ab33b64d15bb83f763056493181d733767efff66b6006da9de7i0,0.0489
Bitcoin Frog #4110,402864,6448ad55000c38ae7de1461a6382aa1afdf8646a7fb388f1b9ce5899969b9634i0,0.049
Bitcoin Frog #2633,410033,4ea5a569d581b5c5d004132b8c751982a8588b9677fef9f43e60829f43f906d7i0,0.049
Bitcoin Frog #6007,411802,27c77dff2eedb1a701b217abffec717b3a1408385549e52f309977df2303c3f0i0,0.049
Bitcoin Frog #3468,395958,57592688e0cc8c86b18abe7666e2f5596e303784cef96fce2a538d9af836c905i0,0.0495
Bitcoin Frog #3023,404149,796d6665daa65a78c8a81e14fa5f801da41b51370492fd85346cd11ef367f052i0,0.0495
Bitcoin Frog #1315,404502,0ace7af877984a2165eec53c94277f2cec87ce92fd47c702253dc86e51b1c85bi0,0.0495
Bitcoin Frog #505,408122,9af4dcd237796f3ff4ad45512e1465b4e924f6c3cdbe732279add260f5a169aei0,0.0495
Bitcoin Frog #1395,402329,dbf728a5ba42c82684fc46fb22d5366075e22776ad0ccf5dd13372a1aaf3d925i0,0.0498
Bitcoin Frog #8789,410207,7b5676e105e6e225ebf92d564928b3623e609182b09e56819eace0be254349dbi0,0.0499
