item_name,inscription_number,inscription_id,list_price
Bitcoin Frog #4728,400831,79abad634fb40c446795817384e02b16feaadf6c564008c1a598395aa25bab08i0,0.2
Bitcoin Frog #5494,400924,9d840cf6e168c2476b66520cc3bea8a08c708f389b0acb3d85dff611db781d09i0,0.2
Bitcoin Frog #1312,401092,fb5412a7993239f3fa4d90641e16a41090c1ae198caf0c511153f7d2ead5880di0,0.2
Bitcoin Frog #4076,401202,434ac0a550ae5952ad3480dc5680d95aa22481829f2cd0f86e8d887be784b40ei0,0.2
Bitcoin Frog #1136,401248,ee63fb8a23c006e9e0ec83b8ab6bfde1d94c302f5963c3812a35ad8a30630c10i0,0.2
Bitcoin Frog #2566,401623,386cebd22ff35911e88f60f20357618d60e9cddf7aa767d3289bfaac835fd119i0,0.2
Bitcoin Frog #5319,402577,d781a4b46a76a1216df619e7b0dea4a5ef83af0a8d356818a412052d63aaaf2ci0,0.2
Bitcoin Frog #5985,404058,b5e1e70236b923ad0906629fc61388ba0214685f84a1b6ef7ab4211fe627a550i0,0.2
Bitcoin Frog #1361,405085,2cee260c65803ba5950aa87ac114fac86fdc2a0ad72db7d530fb4eaa3a49dd6ai0,0.2
Bitcoin Frog #7318,405290,10279e2557a78e61ac83fd6e07f4b653699025102dd8fe036902ae1991159b6fi0,0.2
Bitcoin Frog #9566,405319,f8a99b33ba7fd3ad32255e6259a2e184210977957b25fad358896975a3c15f70i0,0.2
Bitcoin Frog #3199,405948,6fb31fa3269dd9c82d9e260dd71beabf813ec9734557fe4521da9d4914ae427ci0,0.2
Bitcoin Frog #5204,406943,d1a9cbcd0124a35b86c1827a897baa9ac451ff00252a5a04b2aff71435822b92i0,0.2
Bitcoin Frog #8097,408109,5b39ff88d2637866bd37a07aa973bc50d8a14c709fbbcee291bdbe7cae4112aei0,0.2
Bitcoin Frog #7004,409046,cdbf92cbc3b5c5a51f698e1a1fb69418c4d77d6b503252c358ec786c4b88bec2i0,0.2
Bitcoin Frog #6815,409154,27e2dda6fca44755fb99e9801c6eb22dced53ae273162592e163c05f8b2971c5i0,0.2
Bitcoin Frog #3542,409991,daa85e930ba6c5d1cf7bcba6c49299d875c5989b64ffbd25d54b545befe696d5i0,0.2
Bitcoin Frog #7484,410283,e86f127629dd18eef0482b0edfbf03411ce5d1592b4434ba57c564004ffe2cddi0,0.2
Bitcoin Frog #8049,411848,763fcb47b89bd93055a9e8777abd06d14a745832e85551b07403def8bc64ccf1i0,0.2
Bitcoin Frog #2473,411897,1f0095bf2539c6fa35f27296c8c24faecfcaf956750deead65a674562c97faf2i0,0.2
Bitcoin Frog #1104,412254,a1b7b94e44fb388588cc80697cdad302741d268bba0c9e6170db325c845280fci0,0.2
Bitcoin Frog #2315,402204,0b173b0444dba4dd36c737b0f3a6132091a2486c432fb79318b92a198ec3cc22i0,0.2024
Bitcoin Frog #2937,402263,177a12e0eef8ac0c37c5c6d16f51e869d81b94ccbdf53ce50aa772b3e77e5724i0,0.205
Bitcoin Frog #9068,400928,87788552d70bd07610efe79df5a055e3059f098f0987cbbc705a5f8643773309i0,0.21
Bitcoin Frog #2936,403020,85ecaa66348650c7fffe34d5644ea3f304ebebf47d19a20184a77dafd23f0138i0,0.21
Bitcoin Frog #5638,404631,9940883fc0dd7567da1838695f71b6ddffb3a1fecea36512f55565c4f385875ei0,0.21
Bitcoin Frog #2297,405345,6635b8573d401e18ccce56904b1bca75b8a3dd89af35dd205fcc995f3979ff70i0,0.21
Bitcoin Frog #4869,406050,1ec1e7a7c4aea4da10a79994dac876b1047f200dea78a9ac66557db33f3fb67ei0,0.21
Bitcoin Frog #8372,407726,fe7d25ec1ab5b4cb3d65788adf2842e8427354adac203c8c37c79105334647a4i0,0.21
Bitcoin Frog #8578,409998,088de55fc79778085bed22f8b35b5883f0d1f329467d6986cf7a3ad41d5af3d5i0,0.21
Bitcoin Frog #3425,404309,5727e6857baceb659f2f393cd7dcf9c5f08c47a85d3ccd645fc743ab39a1fb56i0,0.21888
Bitcoin Frog #1168,412015,a6ed360d2d614ba3d2c5f6c7a19460dcd94c05fd6a45ab4e4218c3fcdaad22f6i0,0.219
Bitcoin Frog #2283,404886,6c15724fd639e824f351d1834e72e0fb0a0fa34a6b281d7b3a697b258358db65i0,0.22
Bitcoin Frog #5600,405418,df8e209e5f41d7f1ec242ab4b0c405d5911f54f96d2bb01f12c362459a52d972i0,0.22
Bitcoin Frog #6467,406691,faad842d0c905f7a8bc137213a8e6cc07efc132a93cbf2e06c44985f869b328ci0,0.22
Bitcoin Frog #9266,407153,3e5b088139e02966494b363d83f46461729cec6a66d5a3d4bbf8cef1c7156197i0,0.22
Bitcoin Frog #9842,407374,98ec31c7b2fc513e0f909e3cfc28b94a5a7348af4acd37740e995539112c809ci0,0.22
Bitcoin Frog #7926,408383,aa351dd43df393632c599ad6d23c52c6819018d428ce9fda8e622005687079b3i0,0.22
