item_name,inscription_number,inscription_id,list_price
Bitcoin Frog #4587,402268,d10ee4ce439f3c90f67542e47301502a2abe56d7884c0f83f8ea85a12fc17a24i0,0.1
Bitcoin Frog #6893,402750,6eb9622ae8c9cc1ce9a6c376719e00608df09dd6b10bc4a8e9cc8da29d9f5931i0,0.1
Bitcoin Frog #4472,403470,9873e284eb9324f1d31f18ae4917aca42700455c6d78968dc742d87134e88b41i0,0.1
Bitcoin Frog #3011,403989,3a03ac826ba1266c776e24baa82cbfebe70364f1eb0a981eaadab9bf9874b74ei0,0.1
Bitcoin Frog #1559,404370,47627891279f3e422aba253b3f4acc877b15c88a8d3856345f12e8ae45247f58i0,0.1
Bitcoin Frog #1319,404652,78627aee6eda9034b079acebf559237161b55894fdde68b4761c17b2d5a3255fi0,0.1
Bitcoin Frog #5049,404832,f3a64196c167ab5e89a5a4409a01ac425699f6079f31e6c0c36d0c7d07311c64i0,0.1
Bitcoin Frog #1230,405854,8f620de081787a6b886fee5c2b2a3fda337b1d15aa277c3402a403661303c979i0,0.1
Bitcoin Frog #7957,405882,8a9e341ad159af2179158a18fe2631b08e5bee5318d3936dbf464fda5789867ai0,0.1
Bitcoin Frog #2549,405937,245994b4e0fb575c3857c96baf563140ad95a7a5541bb902dbbba1da88b5f37bi0,0.1
Bitcoin Frog #9794,406195,822bb1a22963aeb87ed32552f1cb4c5485ca4391055e0052dadfcea817db3882i0,0.1
Bitcoin Frog #1283,407379,4d6eef1c02b2cc3ae078d74d3915452883056d93e7204c37c24be80e1fde949ci0,0.1
Bitcoin Frog #966,407836,1f9347f83c22ccb998699c955a4d7a2ed6be23c7a7b373d6c0447e0bcc1f54a7i0,0.1
Bitcoin Frog #728,407954,b25ca87e1575027bd565bd0a875653ec29255aa448acdb0897fa60ae364d28aai0,0.1
Bitcoin Frog #9721,408438,a690e32de5ba96f772f7a8b3f5c55a3c7311a89e21ac196fa63a40356261f8b4i0,0.1
Bitcoin Frog #7947,409050,584c57e4f39acfb7363483156ed7f261d6c8984e6ec9c0efa28938664468d1c2i0,0.1
